# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   55       2.049814440139e-10       2.153263185069e-14      -6.862469468908e-14       0.000000000000e+00       4.254534848138e-11       4.769420558148e-12      -9.844863621024e-15 
   56       2.078296420945e-10       2.277073147821e-14      -1.027218583869e-13       0.000000000000e+00       4.086879791042e-11       4.605201486306e-12      -9.975565488263e-15 
   57       2.107135534494e-10       2.404806027923e-14      -1.385973523336e-13       0.000000000000e+00       3.927889756911e-11       4.449695757831e-12      -1.005197383824e-14 
   58       2.136208152759e-10       2.536432057261e-14      -1.762969014901e-13       0.000000000000e+00       3.777003550944e-11       4.300325783461e-12      -1.006922171706e-14 
   59       2.165484622160e-10       2.671916954596e-14      -2.158032607665e-13       0.000000000000e+00       3.633703839130e-11       4.157374319340e-12      -9.984184601680e-15 
   60       2.195110180606e-10       2.811224975902e-14      -2.571433972060e-13       0.000000000000e+00       3.497512797854e-11       4.021075925549e-12      -9.807629738389e-15 
   61       2.225011394853e-10       2.954318290717e-14      -3.003392133129e-13       0.000000000000e+00       3.367989039714e-11       3.890639118181e-12      -9.625422185986e-15 
   62       2.255167067931e-10       3.101157359662e-14      -3.453654704642e-13       0.000000000000e+00       3.244724909465e-11       3.767370382440e-12      -9.435579613212e-15 
   63       2.285635776612e-10       3.251694638684e-14      -3.921945689005e-13       0.000000000000e+00       3.127342103710e-11       3.650227754796e-12      -9.290698862742e-15 
   64       2.316352469407e-10       3.405869316889e-14      -4.407732887663e-13       0.000000000000e+00       3.015490783992e-11       3.538286324157e-12      -9.210882938810e-15 
   65       2.347377259453e-10       3.563616031904e-14      -4.910733605967e-13       0.000000000000e+00       2.908845374501e-11       3.431052371794e-12      -9.177030561546e-15 
   66       2.378752654407e-10       3.724864588401e-14      -5.431123554040e-13       0.000000000000e+00       2.807104276948e-11       3.327892766670e-12      -9.189043994667e-15 
   67       2.410356870434e-10       3.889532027220e-14      -5.968519988342e-13       0.000000000000e+00       2.709986163855e-11       3.229127356373e-12      -9.203659447350e-15 
   68       2.442242299834e-10       4.057528165638e-14      -6.522507212331e-13       0.000000000000e+00       2.617229969730e-11       3.134853266170e-12      -9.197171333918e-15 
   69       2.474495423281e-10       4.228758348264e-14      -7.093353842589e-13       0.000000000000e+00       2.528591672215e-11       3.044653935609e-12      -9.169220497953e-15 
   70       2.507021334594e-10       4.403121617218e-14      -7.681039830838e-13       0.000000000000e+00       2.443844238018e-11       2.958680310896e-12      -9.077733791050e-15 
   71       2.539838111458e-10       4.580517521868e-14      -8.285281708773e-13       0.000000000000e+00       2.362775563959e-11       2.875778052161e-12      -8.982860964300e-15 
   72       2.573018091504e-10       4.760843179128e-14      -8.906083130182e-13       0.000000000000e+00       2.285187209613e-11       2.796078080520e-12      -8.862442903677e-15 
   73       2.606473500072e-10       4.943984185634e-14      -9.542981294332e-13       0.000000000000e+00       2.210894035745e-11       2.719525901172e-12      -8.728490052987e-15 
   74       2.640205570086e-10       5.129822102608e-14      -1.019524213705e-12       0.000000000000e+00       2.139722726305e-11       2.645744752899e-12      -8.637422888200e-15 
   75       2.674318093544e-10       5.318238561405e-14      -1.086275755200e-12       0.000000000000e+00       2.071510410862e-11       2.575034228036e-12      -8.567364228259e-15 
   76       2.708751906498e-10       5.509105135104e-14      -1.154528131847e-12       0.000000000000e+00       2.006104763214e-11       2.507345455477e-12      -8.509514364204e-15 
   77       2.743443990233e-10       5.702285349585e-14      -1.224198843087e-12       0.000000000000e+00       1.943363093548e-11       2.442416133475e-12      -8.458188114330e-15 
   78       2.778494562367e-10       5.897643081952e-14      -1.295259516198e-12       0.000000000000e+00       1.883148262546e-11       2.379801647332e-12      -8.430379669817e-15 
   79       2.813876212415e-10       6.095030470888e-14      -1.367671903066e-12       0.000000000000e+00       1.825343301267e-11       2.319364938156e-12      -8.404723721772e-15 
   80       2.849532817159e-10       6.294293107664e-14      -1.441393239687e-12       0.000000000000e+00       1.769818603654e-11       2.261048261709e-12      -8.352443004376e-15 
   81       2.885509394932e-10       6.495279566672e-14      -1.516400474950e-12       0.000000000000e+00       1.716470670648e-11       2.204805190600e-12      -8.273957334876e-15 
   82       2.921856790589e-10       6.697834579079e-14      -1.592668413017e-12       0.000000000000e+00       1.665188470054e-11       2.150579201395e-12      -8.179057490145e-15 
   83       2.958530439145e-10       6.901795670645e-14      -1.670139685326e-12       0.000000000000e+00       1.615879448230e-11       2.098329411182e-12      -8.082628589018e-15 
   84       2.995477891884e-10       7.106996111973e-14      -1.748752135949e-12       0.000000000000e+00       1.568443818235e-11       2.047996046502e-12      -7.998204815454e-15 
   85       3.032739817665e-10       7.313272057459e-14      -1.828466985051e-12       0.000000000000e+00       1.522799373776e-11       1.999484427687e-12      -7.924739461243e-15 
   86       3.070362388059e-10       7.520455625641e-14      -1.909242245371e-12       0.000000000000e+00       1.478857990851e-11       1.952676742915e-12      -7.858086479300e-15 
   87       3.108305094066e-10       7.728369230245e-14      -1.990997153051e-12       0.000000000000e+00       1.436546224018e-11       1.907464550646e-12      -7.798329999241e-15 
   88       3.146520898381e-10       7.936831135157e-14      -2.073649469019e-12       0.000000000000e+00       1.395785377593e-11       1.863738711893e-12      -7.745545501987e-15 
   89       3.185048429210e-10       8.145664633656e-14      -2.157164338941e-12       0.000000000000e+00       1.356509636428e-11       1.821437749800e-12      -7.695022652245e-15 
   90       3.223930350931e-10       8.354689817993e-14      -2.241510018919e-12       0.000000000000e+00       1.318648677227e-11       1.780504792937e-12      -7.641222777761e-15 
   91       3.263125488439e-10       8.563716816841e-14      -2.326612768501e-12       0.000000000000e+00       1.282143493832e-11       1.740893939277e-12      -7.581605251215e-15 
   92       3.302586542455e-10       8.772552650022e-14      -2.412394416184e-12       0.000000000000e+00       1.246931174050e-11       1.702554152546e-12      -7.515012589315e-15 
   93       3.342348584608e-10       8.981012653007e-14      -2.498812379636e-12       0.000000000000e+00       1.212958673358e-11       1.665439366751e-12      -7.443105591095e-15 
