# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   71       2.542177443184e-10       4.600794658314e-14      -8.289364070659e-13       2.193179030464e-16       2.362775563959e-11       2.875778052161e-12      -8.982860964300e-15 
   72       2.575401689121e-10       4.781613309098e-14      -8.909971210501e-13       2.255539125651e-16       2.285187209613e-11       2.796078080520e-12      -8.862442903677e-15 
   73       2.608901045511e-10       4.965248871282e-14      -9.546642613623e-13       2.318773643152e-16       2.210894035745e-11       2.719525901172e-12      -8.728490052987e-15 
   74       2.642676710416e-10       5.151582736883e-14      -1.019864318266e-12       2.382883349570e-16       2.139722726305e-11       2.645744752899e-12      -8.637422888200e-15 
   75       2.676832290742e-10       5.340496370812e-14      -1.086586289300e-12       2.447869157994e-16       2.071510410862e-11       2.575034228036e-12      -8.567364228259e-15 
   76       2.711308664906e-10       5.531861197793e-14      -1.154805374688e-12       2.513732134099e-16       2.006104763214e-11       2.507345455477e-12      -8.509514364204e-15 
   77       2.746042870705e-10       5.725540612496e-14      -1.224438980298e-12       2.580473501499e-16       1.943363093548e-11       2.442416133475e-12      -8.458188114330e-15 
   78       2.781134932402e-10       5.921398366129e-14      -1.295458559793e-12       2.648094646131e-16       1.883148262546e-11       2.379801647332e-12      -8.430379669817e-15 
   79       2.816557444273e-10       6.119286499598e-14      -1.367825703931e-12       2.716597126099e-16       1.825343301267e-11       2.319364938156e-12      -8.404723721772e-15 
   80       2.852254327320e-10       6.319050522033e-14      -1.441497489899e-12       2.785982665920e-16       1.769818603654e-11       2.261048261709e-12      -8.352443004376e-15 
